"BehaviorSpace results (NetLogo 6.1.1)"
"complete.nlogo"
"best_case"
"03/10/2020 23:41:18:804 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","100","-25","30"
"[run number]","attacker-number-beach-a","initial-number-defending-b26","initial-number-attacking-b26","initial-number-t33","defender-number-base-a","initial-number-seaFury","attacker-number-beach-b","defender-number-base-b","show-health","defender-number-base-c","show-ammo","[step]","count defenders","count attackers"
"5","15","0","20","0","200","0","15","200","false","100","false","0","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","0","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","0","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","0","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","1","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","0","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","0","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","1","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","1","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","2","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","2","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","1","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","3","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","2","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","4","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","3","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","2","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","1","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","3","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","4","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","1","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","5","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","4","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","3","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","5","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","4","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","6","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","2","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","6","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","5","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","2","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","7","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","5","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","3","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","7","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","8","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","6","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","3","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","6","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","8","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","4","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","7","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","4","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","7","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","9","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","9","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","8","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","5","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","5","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","10","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","8","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","9","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","10","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","6","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","11","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","6","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","10","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","7","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","11","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","12","500","30"
