"BehaviorSpace results (NetLogo 6.1.1)"
"complete.nlogo"
"experiment"
"03/10/2020 19:52:50:578 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","100","-25","30"
"[run number]","1","1","1","2","2","2","3","3","3","4","4","4","5","5","5","6","6","6","7","7","7","8","8","8","9","9","9","10","10","10","11","11","11","12","12","12","13","13","13","14","14","14","15","15","15","16","16","16","17","17","17","18","18","18","19","19","19","20","20","20","21","21","21"
"attacker-number-beach-a","15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,
"defender-number-base-a","200",,,"200",,,"200",,,"200",,,"200",,,"200",,,"200",,,"200",,,"200",,,"200",,,"200",,,"200",,,"200",,,"200",,,"200",,,"200",,,"200",,,"200",,,"200",,,"200",,,"200",,
"initial-number-attacking-b26","0",,,"1",,,"2",,,"3",,,"4",,,"5",,,"6",,,"7",,,"8",,,"9",,,"10",,,"11",,,"12",,,"13",,,"14",,,"15",,,"16",,,"17",,,"18",,,"19",,,"20",,
"initial-number-defending-b26","11",,,"11",,,"11",,,"11",,,"11",,,"11",,,"11",,,"11",,,"11",,,"11",,,"11",,,"11",,,"11",,,"11",,,"11",,,"11",,,"11",,,"11",,,"11",,,"11",,,"11",,
"initial-number-t33","5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,
"initial-number-seaFury","5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,
"attacker-number-beach-b","15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,
"defender-number-base-b","200",,,"200",,,"200",,,"200",,,"200",,,"200",,,"200",,,"200",,,"200",,,"200",,,"200",,,"200",,,"200",,,"200",,,"200",,,"200",,,"200",,,"200",,,"200",,,"200",,,"200",,
"show-health","false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,
"defender-number-base-c","100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,
"show-ammo","false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,
"[reporter]","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders"
"[final]","521","0","500","522","0","500","523","0","500","524","0","500","521","0","496","515","0","489","489","0","462","522","0","494","529","0","500","521","0","491","523","0","492","531","0","499","410","0","377","349","0","315","506","0","471","312","0","276","414","0","377","336","0","298","385","0","346","395","0","355","446","0","405"
"[min]","521","0","500","522","0","500","523","0","500","524","0","500","521","0","496","515","0","489","489","0","462","522","0","494","529","0","500","521","0","491","523","0","492","531","0","499","410","0","377","349","0","315","506","0","471","312","0","276","414","0","377","336","0","298","385","0","346","395","0","355","446","0","405"
"[max]","551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","556","30","500","557","30","500","558","30","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","570","30","500","571","30","500"
