"BehaviorSpace results (NetLogo 6.1.1)"
"complete.nlogo"
"experiment"
"03/10/2020 19:51:26:889 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","100","-25","30"
"[run number]","attacker-number-beach-a","defender-number-base-a","initial-number-attacking-b26","initial-number-defending-b26","initial-number-t33","initial-number-seaFury","attacker-number-beach-b","defender-number-base-b","show-health","defender-number-base-c","show-ammo","[step]","count turtles","count attackers","count defenders"
"2","15","200","1","11","5","5","15","200","false","100","false","0","552","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","0","558","30","500"
"6","15","200","5","11","5","5","15","200","false","100","false","0","556","30","500"
"7","15","200","6","11","5","5","15","200","false","100","false","0","557","30","500"
"5","15","200","4","11","5","5","15","200","false","100","false","0","555","30","500"
"4","15","200","3","11","5","5","15","200","false","100","false","0","554","30","500"
"3","15","200","2","11","5","5","15","200","false","100","false","0","553","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","1","558","30","500"
"6","15","200","5","11","5","5","15","200","false","100","false","1","556","30","500"
"2","15","200","1","11","5","5","15","200","false","100","false","1","552","30","500"
"7","15","200","6","11","5","5","15","200","false","100","false","1","557","30","500"
"4","15","200","3","11","5","5","15","200","false","100","false","1","554","30","500"
"5","15","200","4","11","5","5","15","200","false","100","false","1","555","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","2","558","30","500"
"2","15","200","1","11","5","5","15","200","false","100","false","2","552","30","500"
"6","15","200","5","11","5","5","15","200","false","100","false","2","556","30","500"
"7","15","200","6","11","5","5","15","200","false","100","false","2","557","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","3","558","30","500"
"5","15","200","4","11","5","5","15","200","false","100","false","2","555","30","500"
"7","15","200","6","11","5","5","15","200","false","100","false","3","557","30","500"
"4","15","200","3","11","5","5","15","200","false","100","false","2","554","30","500"
"6","15","200","5","11","5","5","15","200","false","100","false","3","556","30","500"
"2","15","200","1","11","5","5","15","200","false","100","false","3","552","30","500"
"1","15","200","0","11","5","5","15","200","false","100","false","0","551","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","4","558","30","500"
"7","15","200","6","11","5","5","15","200","false","100","false","4","557","30","500"
"4","15","200","3","11","5","5","15","200","false","100","false","3","554","30","500"
"5","15","200","4","11","5","5","15","200","false","100","false","3","555","30","500"
"3","15","200","2","11","5","5","15","200","false","100","false","1","553","30","500"
"2","15","200","1","11","5","5","15","200","false","100","false","4","552","30","500"
"6","15","200","5","11","5","5","15","200","false","100","false","4","556","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","5","558","30","500"
"7","15","200","6","11","5","5","15","200","false","100","false","5","557","30","500"
"4","15","200","3","11","5","5","15","200","false","100","false","4","554","30","500"
"6","15","200","5","11","5","5","15","200","false","100","false","5","556","30","500"
"1","15","200","0","11","5","5","15","200","false","100","false","1","551","30","500"
"5","15","200","4","11","5","5","15","200","false","100","false","4","555","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","6","558","30","500"
"7","15","200","6","11","5","5","15","200","false","100","false","6","557","30","500"
"3","15","200","2","11","5","5","15","200","false","100","false","2","553","30","500"
"4","15","200","3","11","5","5","15","200","false","100","false","5","554","30","500"
"2","15","200","1","11","5","5","15","200","false","100","false","5","552","30","500"
"6","15","200","5","11","5","5","15","200","false","100","false","6","556","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","7","558","30","500"
"4","15","200","3","11","5","5","15","200","false","100","false","6","554","30","500"
"5","15","200","4","11","5","5","15","200","false","100","false","5","555","30","500"
"7","15","200","6","11","5","5","15","200","false","100","false","7","557","30","500"
"1","15","200","0","11","5","5","15","200","false","100","false","2","551","30","500"
"6","15","200","5","11","5","5","15","200","false","100","false","7","556","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","8","558","30","500"
"3","15","200","2","11","5","5","15","200","false","100","false","3","553","30","500"
"5","15","200","4","11","5","5","15","200","false","100","false","6","555","30","500"
"4","15","200","3","11","5","5","15","200","false","100","false","7","554","30","500"
"1","15","200","0","11","5","5","15","200","false","100","false","3","551","30","500"
"6","15","200","5","11","5","5","15","200","false","100","false","8","556","30","500"
"7","15","200","6","11","5","5","15","200","false","100","false","8","557","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","9","558","30","500"
"2","15","200","1","11","5","5","15","200","false","100","false","6","552","30","500"
"3","15","200","2","11","5","5","15","200","false","100","false","4","553","30","500"
"4","15","200","3","11","5","5","15","200","false","100","false","8","554","30","500"
"7","15","200","6","11","5","5","15","200","false","100","false","9","557","30","500"
