"BehaviorSpace results (NetLogo 6.1.1)"
"complete.nlogo"
"tkim338"
"03/10/2020 20:27:29:820 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","100","-25","30"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12","13","13","14","14","15","15","16","16","17","17","18","18","19","19","20","20","21","21","22","22","23","23","24","24","25","25","26","26","27","27","28","28","29","29","30","30","31","31","32","32","33","33","34","34","35","35","36","36","37","37","38","38","39","39","40","40","41","41","42","42","44","44","45","45","46","46","47","47","48","48","52","52","53","53","54","54","60","60","64","64","70","70","71","71"
"attacker-number-beach-a","15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",
"initial-number-defending-b26","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"initial-number-attacking-b26","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",
"initial-number-t33","0",,"0",,"0",,"0",,"0",,"0",,"1",,"1",,"1",,"1",,"1",,"1",,"2",,"2",,"2",,"2",,"2",,"2",,"3",,"3",,"3",,"3",,"3",,"3",,"4",,"4",,"4",,"4",,"4",,"4",,"5",,"5",,"5",,"5",,"5",,"5",,"0",,"0",,"0",,"0",,"0",,"0",,"1",,"1",,"1",,"1",,"1",,"2",,"2",,"2",,"3",,"4",,"5",,"5",
"defender-number-base-a","200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",
"initial-number-seaFury","0",,"1",,"2",,"3",,"4",,"5",,"0",,"1",,"2",,"3",,"4",,"5",,"0",,"1",,"2",,"3",,"4",,"5",,"0",,"1",,"2",,"3",,"4",,"5",,"0",,"1",,"2",,"3",,"4",,"5",,"0",,"1",,"2",,"3",,"4",,"5",,"0",,"1",,"2",,"3",,"4",,"5",,"1",,"2",,"3",,"4",,"5",,"3",,"4",,"5",,"5",,"3",,"3",,"4",
"attacker-number-beach-b","15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",
"defender-number-base-b","200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",,"200",
"show-health","false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",
"defender-number-base-c","100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",
"show-ammo","false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",
"[reporter]","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers"
"[final]","500","0","500","0","500","0","500","0","500","0","500","0","498","0","500","0","500","0","500","0","500","0","500","0","499","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","481","0","498","0","441","0","496","0","495","0","470","0","465","0","500","0","500","0","500","0","500","0","500","0","485","0","500","0","500","0","500","0","500","0"
"[min]","500","0","500","0","500","0","500","0","500","0","500","0","498","0","500","0","500","0","500","0","500","0","500","0","499","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","481","0","498","0","441","0","496","0","495","0","470","0","465","0","500","0","500","0","500","0","500","0","500","0","485","0","500","0","500","0","500","0","500","0"
"[max]","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30"
